Year,Month,Dam Storage,Urban,Ag,DamStorageAVG,UrbanAVG,AgAVG
2008,12,833388,674,1024,,,
2009,1,770015,890,1027,725751,1098,1047
2009,2,706765,932,1165,658349,1130,1109
2009,3,632563,1125,771,588379,1118,890
2009,4,608198,1005,425,563181,1000,491
2009,5,610967,862,48,563971,885,55
2009,6,792780,838,23,669524,821,28
2009,7,884333,837,23,762341,794,27
2009,8,902054,862,23,823888,804,27
2009,9,905378,868,23,843785,823,28
2009,10,905378,892,119,837093,906,137
2009,11,883964,1035,243,811975,986,306
2009,12,842986,1095,653,751215,1076,820
2010,1,768784,1148,862,,,
2010,2,698336,1130,903,,,
2010,3,649175,1108,746,,,
2010,4,647329,961,412,,,
2010,5,672494,894,46,,,
2010,6,757094,806,23,,,
2010,7,794626,771,22,,,
2010,8,821206,793,22,,,
2010,9,835234,819,23,,,
2010,10,833388,917,115,,,
2010,11,824159,955,341,,,
2010,12,763616,1101,914,,,
2011,1,679077,1150,1206,,,
2011,2,608198,1148,1263,,,
2011,3,530673,1139,1044,,,
2011,4,498187,1015,576,,,
2011,5,499664,844,65,,,
2011,6,610043,849,33,,,
2011,7,696182,784,32,,,
2011,8,746634,800,32,,,
2011,9,793518,807,33,,,
2011,10,785397,892,161,,,
2011,11,754941,967,276,,,
2011,12,704796,1042,740,,,
2012,1,631456,1093,976,,,
2012,2,554669,1176,1023,,,
2012,3,482682,1119,846,,,
2012,4,467915,991,466,,,
2012,5,467546,873,52,,,
2012,6,510000,793,26,,,
2012,7,659266,757,25,,,
2012,8,820468,763,25,,,
2012,9,890608,791,26,,,
2012,10,891347,859,130,,,
2012,11,870305,941,299,,,
2012,12,801394,1052,802,,,
2013,1,722638,1131,1059,,,
2013,2,655451,1123,1109,,,
2013,3,593431,1059,917,,,
2013,4,578665,938,506,,,
2013,5,582664,857,57,,,
2013,6,708241,809,29,,,
2013,7,827432,790,28,,,
2013,8,907220,757,28,,,
2013,9,915837,745,29,,,
2013,10,903565,826,141,,,
2013,11,911578,920,278,,,
2013,12,851473,973,747,,,
2014,1,813084,1061,986,,,
2014,2,747293,1163,1032,,,
2014,3,679175,1064,853,,,
2014,4,655134,964,471,,,
2014,5,671694,878,53,,,
2014,6,837695,741,27,,,
2014,7,915584,730,26,,,
2014,8,923596,755,26,,,
2014,9,911578,809,27,,,
2014,10,885441,917,132,,,
2014,11,843848,1002,343,,,
2014,12,775342,1168,919,,,
2015,1,695203,1214,1213,,,
2015,2,637731,1237,1270,,,
2015,3,550953,1215,1050,,,
2015,4,486842,1123,579,,,
2015,5,442766,988,65,,,
2015,6,470815,911,33,,,
2015,7,558967,890,32,,,
2015,8,646037,899,32,,,
2015,9,654344,924,33,,,
2015,10,655134,1039,162,,,
2015,11,595030,1083,359,,,
2015,12,518898,1100,964,,,
2016,1,448227,1106,1272,,,
2016,2,362627,1053,1332,,,
2016,3,306960,985,1101,,,
2016,4,281487,882,608,,,
2016,5,274475,831,68,,,
2016,6,318881,777,35,,,
2016,7,438759,757,33,,,
2016,8,517753,837,33,,,
2016,9,542671,856,35,,,
2016,10,550953,915,170,,,
2016,11,502870,939,319,,,
2016,12,434752,927,855,,,
2017,1,370702,919,1129,,,
2017,2,310537,875,1182,,,
2017,3,254440,818,977,,,
2017,4,214371,777,539,,,
2017,5,184319,749,61,,,
2017,6,214371,680,31,,,
2017,7,246426,674,30,,,
2017,8,302524,663,30,,,
2017,9,338586,657,31,,,
2017,10,344657,643,151,,,
2017,11,317142,645,320,,,
2017,12,280000,660,855,,,
2018,1,233285,638,1100,,,
2018,2,212142,571,1100,,,
2018,3,197571,571,0,,,
2018,4,191000,555,0,,,
2018,5,238000,563,0,,,
2018,6,419000,556,0,,,
2018,7,494589,527,0,,,
2018,8,591000,540,0,,,
2018,9,681000,520,0,,,
2018,10,671500,584,0,,,
2018,11,631500,598,361,,,
2018,12,590000,602,781,,,